Version,Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore,Detections,ViolationsIndexes
1.0,2022-06-01 09:59:51,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [172.4138641357422, 137.0925807952881, 340.3186798095703, 333.2018566131592], 'bbox': [0.26939666, 0.28560954, 0.53174794, 0.69417053], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [440.6713104248047, 160.82093238830566, 635.6687927246094, 430.3711795806885], 'bbox': [0.6885489, 0.3350436, 0.9932325, 0.8966066], 'tracking_id': 37}]",[]
1.0,2022-06-01 09:59:52,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [171.661376953125, 142.20637321472168, 339.22985076904297, 348.9505863189697], 'bbox': [0.2682209, 0.29626328, 0.53004664, 0.7269804], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [445.8913040161133, 169.89744186401367, 631.4928817749023, 425.8802032470703], 'bbox': [0.69670516, 0.353953, 0.9867076, 0.8872504], 'tracking_id': 37}]",[]
1.0,2022-06-01 09:59:52,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [187.72911071777344, 145.98369598388672, 350.9099578857422, 370.59825897216797], 'bbox': [0.29332674, 0.3041327, 0.5482968, 0.7720797], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [435.25733947753906, 150.0202989578247, 641.4752197265625, 438.87868881225586], 'bbox': [0.6800896, 0.3125423, 1.002305, 0.9143306], 'tracking_id': 37}]",[]
1.0,2022-06-01 09:59:53,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [197.52275466918945, 144.67968463897705, 374.4602966308594, 371.3649559020996], 'bbox': [0.3086293, 0.301416, 0.5850942, 0.773677], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [432.4993133544922, 154.75125789642334, 645.1815795898438, 437.9998970031738], 'bbox': [0.6757802, 0.32239845, 1.0080962, 0.9124998], 'tracking_id': 37}]",[]
1.0,2022-06-01 09:59:53,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [199.0283966064453, 154.85904693603516, 382.1022033691406, 399.2868232727051], 'bbox': [0.31098187, 0.322623, 0.5970347, 0.83184755], 'tracking_id': 35}]",[]
1.0,2022-06-01 09:59:54,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [171.91797256469727, 167.29917526245117, 370.5900573730469, 406.3664245605469], 'bbox': [0.26862183, 0.34853995, 0.57904696, 0.8465967], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [448.38478088378906, 156.90898418426514, 648.7885284423828, 420.77184677124023], 'bbox': [0.7006012, 0.32689372, 1.0137321, 0.876608], 'tracking_id': 41}]",[]
1.0,2022-06-01 09:59:54,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [146.01458549499512, 169.56756591796875, 358.3675765991211, 405.703125], 'bbox': [0.22814779, 0.35326576, 0.55994934, 0.84521484], 'tracking_id': 35}]",[]
1.0,2022-06-01 09:59:55,3,2,0.94,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [148.15167427062988, 172.50155925750732, 353.0759048461914, 470.5715560913086], 'bbox': [0.23148699, 0.35937825, 0.5516811, 0.9803574], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [2.547421455383301, 222.7897310256958, 148.25464248657227, 479.64391708374023], 'bbox': [0.003980346, 0.46414527, 0.23164788, 0.99925816], 'tracking_id': 43}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [235.03150939941406, 239.5045566558838, 482.0348358154297, 476.380090713501], 'bbox': [0.36723673, 0.49896783, 0.75317943, 0.9924585], 'tracking_id': 42}]","[0, 1, 2]"
1.0,2022-06-01 09:59:56,2,1,0.96,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [140.9611701965332, 177.60446548461914, 347.5651550292969, 473.1548309326172], 'bbox': [0.22025183, 0.3700093, 0.54307055, 0.98573923], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [-3.6030197143554688, 196.58419132232666, 156.2623405456543, 474.87682342529297], 'bbox': [-0.0056297183, 0.4095504, 0.2441599, 0.9893267], 'tracking_id': 43}]","[0, 1]"
1.0,2022-06-01 09:59:56,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [-0.44864654541015625, 192.0256805419922, 175.30662536621094, 476.62479400634766], 'bbox': [-0.0007010102, 0.4000535, 0.2739166, 0.9929683], 'tracking_id': 43}]",[]
1.0,2022-06-01 09:59:57,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [-1.0770416259765625, 181.75477981567383, 179.34078216552734, 471.5217590332031], 'bbox': [-0.0016828775, 0.3786558, 0.28021997, 0.982337], 'tracking_id': 43}]",[]
1.0,2022-06-01 09:59:57,3,1,0.95,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [5.858035087585449, 184.424786567688, 127.62775421142578, 464.8047637939453], 'bbox': [0.00915318, 0.3842183, 0.19941837, 0.96834326], 'tracking_id': 43}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [106.51667594909668, 198.4790325164795, 349.86534118652344, 472.0814609527588], 'bbox': [0.1664323, 0.41349798, 0.5466646, 0.98350304], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [460.65940856933594, 140.34659385681152, 648.7359619140625, 412.38919258117676], 'bbox': [0.7197803, 0.29238874, 1.01365, 0.85914415], 'tracking_id': 44}]","[0, 1]"
1.0,2022-06-01 09:59:58,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [70.75555801391602, 191.88549041748047, 307.1172904968262, 478.3999443054199], 'bbox': [0.11055556, 0.39976144, 0.47987077, 0.99666655], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [466.026611328125, 116.01589679718018, 652.5518798828125, 425.9446334838867], 'bbox': [0.7281666, 0.24169978, 1.0196123, 0.88738465], 'tracking_id': 44}]",[]
1.0,2022-06-01 09:59:58,4,3,0.91,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [-1.9866704940795898, 195.23044109344482, 114.51860427856445, 485.03379821777344], 'bbox': [-0.0031041726, 0.4067301, 0.17893532, 1.0104871], 'tracking_id': 45}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [486.7143249511719, 130.64623832702637, 634.4096374511719, 403.8875484466553], 'bbox': [0.76049113, 0.27217966, 0.99126506, 0.8414324], 'tracking_id': 44}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [21.4047908782959, 199.14915561676025, 207.5308609008789, 483.30413818359375], 'bbox': [0.033444986, 0.41489407, 0.32426697, 1.0068836], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [184.78134155273438, 206.28384590148926, 419.3613052368164, 477.12475776672363], 'bbox': [0.28872085, 0.429758, 0.65525204, 0.9940099], 'tracking_id': 46}]","[0, 2, 3]"
1.0,2022-06-01 09:59:59,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [214.16343688964844, 217.59969234466553, 440.4743194580078, 469.2726516723633], 'bbox': [0.33463037, 0.4533327, 0.6882411, 0.97765136], 'tracking_id': 46}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [481.69254302978516, 83.19485664367676, 634.3469619750977, 396.2625217437744], 'bbox': [0.7526446, 0.17332262, 0.9911671, 0.8255469], 'tracking_id': 44}]",[]
1.0,2022-06-01 09:59:59,0,0,1.0,[],[]
1.0,2022-06-01 10:00:00,0,0,1.0,[],[]
1.0,2022-06-01 10:00:00,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [488.59058380126953, 106.85201168060303, 635.2317428588867, 387.81726837158203], 'bbox': [0.7634228, 0.22260836, 0.9925496, 0.80795264], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:01,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [490.8182907104492, 118.86187076568604, 637.1047592163086, 385.65542221069336], 'bbox': [0.7669036, 0.2476289, 0.9954762, 0.8034488], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:01,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [485.42163848876953, 113.03280830383301, 635.0287246704102, 394.49875831604004], 'bbox': [0.7584713, 0.23548502, 0.9922324, 0.8218724], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:02,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [484.8375701904297, 131.2068271636963, 634.0293884277344, 390.8451747894287], 'bbox': [0.7575587, 0.27334756, 0.9906709, 0.8142608], 'tracking_id': 48}]",[]
1.0,2022-06-01 10:00:02,0,0,1.0,[],[]
1.0,2022-06-01 10:00:03,0,0,1.0,[],[]
